Rank,Coach,School, Total Pay ,Conf,Scheduled School Pay,Contract Year Pandemic Reduction,Actual School Pay,Total Pandemic Reduction,School Buyout,,as_Rank,as_Coach,as_School,as_Total Pay,as_Conf,as_Scheduled School Pay,as_Contract Year Pandemic Reduction,as_Actual School Pay,as_Total Pandemic Reduction,School Buyout,,s_Rank,s_Coach,s_School,s_Total Pay,s_Conf,s_Scheduled School Pay,s_Contract Year Pandemic Reduction,s_Actual School Pay,s_Total Pandemic Reduction,School Buyout,,Team,Win-Loss Record,Win %,MOV,ATS +/-
24,P.J. Fleck,Minnesota," $4,420,000 ",Big Ten,"$4,650,000 ","$230,000*","$4,420,000 ","$548,320*","$15,851,875 ",,24,Derrick Ansley,Tennessee,"$1,000,000 ",SEC,"$1,000,000 ",$0 ,"$1,000,000 ",$0 ,—,,24,Mike Joseph,West Virginia,"$363,900 ",Big 12,"$376,000 ","$12,500 ","$363,500 ","$18,917 ",—,,Army,9/3/2000,75.00%,11.9,2.6
25,Jeff Brohm,Purdue," $4,417,774 ",Big Ten,"$5,000,000 ","$582,226*","$4,417,774 ","$873,340*","$18,966,667 ",,25,Steve Ensminger,Louisiana State,"$989,750 ",SEC,"$1,000,000 ","$12,500 ","$987,500 ","$50,000 ",—,,25,Chris Dawson,Kansas State,"$360,769 ",Big 12,"$400,000 ","$39,231 ","$360,769 ","$40,000 ",—,,Oklahoma St,8/3/2000,72.70%,6.7,-1
26,Mario Cristobal,Oregon," $4,402,917 ",Pac-12,"$4,600,000 ","$197,083*","$4,402,917 ","$360,208*","$15,030,000 ",,26,Pete Kwiatkowski,Washington,"$982,508 ",Pac-12,"$1,000,008 ","$17,500 ","$982,508 ","$31,250 ",—,,26,Doug Elisaia,Utah,"$350,000 ",Pac-12,"$350,000 ",$0 ,"$350,000 ",$0 ,—,,Miami (FL),8/3/2000,72.70%,7,0.9
27,Paul Chryst,Wisconsin," $4,362,750 ",Big Ten,"$4,650,000 ","$321,250*","$4,328,750 ","$751,250*","$19,103,724 ",,27,Kendal Briles,Arkansas,"$975,000 ",SEC,"$1,000,000 ","$25,000 ","$975,000 ","$25,000 ",—,,27,Tyson Brown,Mississippi State,"$350,000 ",SEC,"$350,000 ",$0 ,"$350,000 ",$0 ,—,,Memphis,8/3/2000,72.70%,3.1,-4.3
28,Tom Allen,Indiana," $4,260,000 ",Big Ten,"$4,310,000 ","$50,000*","$4,260,000 ","$50,000*","$30,000,000 ",,28,Rod Smith,Illinois,"$938,750 ",Big Ten,"$950,000 ","$11,250 ","$938,750 ","$71,250 ",—,,28,Ross Kolodziej,Wisconsin,"$318,750 ",Big Ten,"$375,000 ","$56,250 ","$318,750 ","$65,625 ",—,,Boise State,5/2/2000,71.40%,6.7,-3
29,Bronco Mendenhall,Virginia," $4,251,500 ",ACC,"$4,250,000 ",$0*,"$4,250,000 ","$264,794*","$13,281,250 ",,29,Jay Johnson,Michigan State,"$935,187 ",Big Ten,"$975,000 ","$39,813 ","$935,187 ","$68,250 ",—,,29,Wilson Love,Mississippi,"$316,875 ",SEC,"$325,000 ","$8,125 ","$316,875 ","$8,125 ",—,,S Methodist,7/3/2000,70.00%,7.7,-5.2
30,Mike Gundy,Oklahoma State," $4,203,125 ",Big 12,"$4,375,000 ","$171,875*","$4,203,125 ","$263,021*","$7,119,792 ",,30,Scottie Hazelton,Michigan State,"$911,208 ",Big Ten,"$950,000 ","$38,792 ","$911,208 ","$66,500 ",—,,30,Dantonio Burnette,NC State,"$312,523 ",ACC,"$324,700 ","$12,177 ","$312,523 ","$44,646 ",—,,Texas,7/3/2000,70.00%,14.2,4.7
31,Bret Bielema,Illinois," $4,200,000 ",Big Ten,"$4,200,000 ",$0 ,"$4,200,000 ",$0 ,"$15,138,425 ",,31,Eddie Gran,Kentucky,"$901,200 ",SEC,"$900,000 ",$0 ,"$900,000 ",$0 ,—,,31,Jason Novak,Michigan State,"$311,458 ",Big Ten,"$325,000 ","$13,542 ","$311,458 ","$13,542 ",—,,Marshall,7/3/2000,70.00%,15.5,0.7
32,Jim Harbaugh,Michigan," $4,030,901 ",Big Ten,"$4,000,000 ",$0*,"$4,000,000 ","$264,687*","$4,444,444 ",,32,Josh Gattis,Michigan,"$900,000 ",Big Ten,"$900,000 ",$0 ,"$900,000 ",$0 ,—,,32,Josh Storms,Florida State,"$310,000 ",ACC,"$310,000 ",$0 ,"$310,000 ",$0 ,—,,Tulsa,6/3/2000,66.70%,5.6,7.2
33,Dana Holgorsen,Houston," $4,000,000 ",AAC,"$4,000,000 ",$0*,"$4,000,000 ","$190,000*","$5,431,250 ",,33,Vince Marrow,Kentucky,"$900,000 ",SEC,"$900,000 ",$0 ,"$900,000 ",$0 ,—,,33,Frank Wintrich,UCLA,"$310,000 ",Pac-12,"$310,000 ",$0 ,"$310,000 ",$0 ,—,,NC State,8/4/2000,66.70%,1.1,2.3
